NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04370262,Multi-site Adaptive Trials for COVID-19,,Completed,No Results Available,COVID-19,Drug: SOC + Intravenous Famotidine|Drug: SOC + Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,233,Interventional,https://ClinicalTrials.gov/show/NCT04370262
NCT04474496,Impact of COVID-19 on Marshallese Communities in the U.S.,,Completed,Has Results,COVID-19,Other: Assessing the impact of COVID-19,All,"18 Years and older   (Adult, Older Adult)",,120,Observational,https://ClinicalTrials.gov/show/NCT04474496
NCT04335123,Study of Open Label Losartan in COVID-19,,Completed,No Results Available,COVID-19,Drug: Losartan,All,"18 Years and older   (Adult, Older Adult)",Phase 1,34,Interventional,https://ClinicalTrials.gov/show/NCT04335123
NCT04321421,Hyperimmune Plasma for Critical Patients With COVID-19,COV19-PLASMA,Completed,No Results Available,COVID-19,Other: hyperimmune plasma,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,49,Interventional,https://ClinicalTrials.gov/show/NCT04321421
NCT04646109,Ivermectin for Severe COVID-19 Management,,Completed,Has Results,COVID-19,Drug: Ivermectin,All,"18 Years and older   (Adult, Older Adult)",Phase 3,66,Interventional,https://ClinicalTrials.gov/show/NCT04646109
NCT04306497,TCM Differentiation and Treatment Protocol of COVID-19,TDATPOC,Completed,No Results Available,COVID-19,Drug: TCM prescriptions,All,"18 Years to 80 Years   (Adult, Older Adult)",,340,Observational,https://ClinicalTrials.gov/show/NCT04306497
NCT04364022,Efficacy of Pragmatic Same-day COVID-19 Ring Prophylaxis for Adult Individuals Exposed to SARS-CoV-2 in Switzerland,COPEP,Completed,No Results Available,Prevention of COVID-19,Drug: Lopinavir/ritonavir,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 3,326,Interventional,https://ClinicalTrials.gov/show/NCT04364022
NCT04382066,Proof of Concept Study to Evaluate the Safety Profile of Plitidepsin in Patients With COVID-19,APLICOV-PC,Completed,No Results Available,COVID-19,Drug: Plitidepsin 1.5 mg/day|Drug: Plitidepsin 2.0 mg/day|Drug: Plitidepsin 2.5 mg/day,All,"18 Years and older   (Adult, Older Adult)",Phase 1,46,Interventional,https://ClinicalTrials.gov/show/NCT04382066
NCT04382092,Co-infection Management in COVID-19 Critically Ill,,Completed,No Results Available,COVID-19,Diagnostic Test: FilmArray Pneumonia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,32,Interventional,https://ClinicalTrials.gov/show/NCT04382092
NCT04352582,COVID-19 and Vaccination Attitudes,VACAT,Completed,No Results Available,COVID-19,Other: Survey,All,"Child, Adult, Older Adult",,1194,Observational,https://ClinicalTrials.gov/show/NCT04352582
NCT04370808,VITACOV: Vitamin D Polymorphisms and Severity of COVID-19 Infection,VITACOV,Completed,No Results Available,COVID-19,Other: Exposure,All,"18 Years and older   (Adult, Older Adult)",,517,Observational,https://ClinicalTrials.gov/show/NCT04370808
NCT04832061,Respiratory Supports and COVID-19 Mortality,,Completed,No Results Available,COVID-19,Other: Respiratory supports,All,"18 Years and older   (Adult, Older Adult)",,2300,Observational,https://ClinicalTrials.gov/show/NCT04832061
NCT04344145,Exhaustion and Needs in Frontline COVID-19 Healthcare Workers: Cross-sectional Study in a Belgian Population,,Completed,No Results Available,COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,693,Observational,https://ClinicalTrials.gov/show/NCT04344145
NCT04343768,"An Investigation Into Beneficial Effects of Interferon Beta 1a, Compared to Interferon Beta 1b And The Base Therapeutic Regiment in Moderate to Severe COVID-19: A Randomized Clinical Trial",COVIFERON,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir|Drug: Interferon Beta-1A|Drug: Interferon Beta-1B,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Interventional,https://ClinicalTrials.gov/show/NCT04343768
NCT04344015,COVID-19 Plasma Collection,,Completed,No Results Available,COVID-19,Other: Plasma Donation,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,206,Interventional,https://ClinicalTrials.gov/show/NCT04344015
NCT04391712,Photobiomodulation Laser Therapy for COVID-19 Positive Patients With Pulmonary Disease,,Completed,No Results Available,COVID-19,Device: MLS Laser|Other: Regular Inpatient Medical Care,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 2,10,Interventional,https://ClinicalTrials.gov/show/NCT04391712
NCT04432324,Study to Evaluate the Safety and Efficacy of High Dose IVIG in Hospitalized Participants With Coronavirus Disease (COVID-19),,Completed,No Results Available,COVID-19,Biological: Intravenous Immune Globulin|Drug: Standard Medical Treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100,Interventional,https://ClinicalTrials.gov/show/NCT04432324
NCT04542694,Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19,,Completed,Has Results,COVID-19,Drug: Favipiravir|Drug: Standard of care,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,200,Interventional,https://ClinicalTrials.gov/show/NCT04542694
NCT04492475,Adaptive COVID-19 Treatment Trial 3 (ACTT-3),,Completed,No Results Available,COVID-19,Drug: Interferon beta-1a|Other: Placebo|Drug: Remdesivir,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 3,969,Interventional,https://ClinicalTrials.gov/show/NCT04492475
NCT04401579,Adaptive COVID-19 Treatment Trial 2 (ACTT-2),,Completed,Has Results,COVID-19,Other: Placebo|Drug: Remdesivir|Drug: Baricitinib,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 3,1033,Interventional,https://ClinicalTrials.gov/show/NCT04401579
NCT04280705,Adaptive COVID-19 Treatment Trial (ACTT),,Completed,Has Results,COVID-19,Other: Placebo|Drug: Remdesivir,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 3,1062,Interventional,https://ClinicalTrials.gov/show/NCT04280705
NCT04547127,A Study to Evaluate Safety and Efficacy of Convalescent Methylene Blue Treated (MBT) Plasma From Donors Recovered From Coronavirus Disease 2019 (COVID-19),,Completed,No Results Available,COVID-19,Biological: Convalescent anti-SARS-CoV-2 MBT Plasma|Drug: Standard Medical Treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200,Interventional,https://ClinicalTrials.gov/show/NCT04547127
NCT04459520,Effect of Availability of COVID-19 Testing on Choice to Isolate and Socially Distance,,Completed,No Results Available,COVID-19,Behavioral: Positive COVID Test Result - Hypothetical Scenario|Behavioral: Negative COVID Test Result - Hypothetical Scenario|Behavioral: Unavailable COVID Test Result - Hypothetical Scenario,All,"18 Years to 110 Years   (Adult, Older Adult)",Not Applicable,1400,Interventional,https://ClinicalTrials.gov/show/NCT04459520
NCT04358536,Classification of COVID-19 Infection in Posteroanterior Chest X-rays,,Completed,No Results Available,COVID-19,Device: CovX,All,"18 Years and older   (Adult, Older Adult)",,230,Observational,https://ClinicalTrials.gov/show/NCT04358536
NCT04475107,The Efficacy and Safety of Pyramax in Mild to Moderate COVID-19 Patients,,Completed,No Results Available,COVID-19,Drug: Pyronaridine-Artesunate|Drug: Placebo,All,"19 Years and older   (Adult, Older Adult)",Phase 2,113,Interventional,https://ClinicalTrials.gov/show/NCT04475107
NCT04641988,Cardiac Biomarkers and Mortality in Critically Ill Patients With SARS-CoV-2 (COVID-19),COROBIOCHIC,Completed,No Results Available,COVID-19,,All,"18 Years to 99 Years   (Adult, Older Adult)",,111,Observational,https://ClinicalTrials.gov/show/NCT04641988
NCT04331171,Epidemiological Observation From a Smartphone Self-monitoring Application for Suspected COVID-19 Patients' Triage,COVID CALL 15,Completed,No Results Available,COVID-19,Device: Web application users,All,"18 Years and older   (Adult, Older Adult)",,12000000,Observational,https://ClinicalTrials.gov/show/NCT04331171
NCT04355936,Telmisartan for Treatment of COVID-19 Patients,,Completed,No Results Available,COVID-19 Drug Treatment,Drug: Telmisartan arm will receive 80 mg Telmisartan twice daily plus standard care.,All,"18 Years and older   (Adult, Older Adult)",Phase 4,400,Interventional,https://ClinicalTrials.gov/show/NCT04355936
NCT04380688,Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,CALAVI US,Completed,No Results Available,COVID-19,Drug: Acalabrutinib,All,"18 Years to 130 Years   (Adult, Older Adult)",Phase 2,62,Interventional,https://ClinicalTrials.gov/show/NCT04380688
NCT04346199,Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,CALAVI,Completed,No Results Available,COVID-19,Drug: Acalabrutinib,All,"18 Years to 130 Years   (Adult, Older Adult)",Phase 2,177,Interventional,https://ClinicalTrials.gov/show/NCT04346199
NCT04771013,Safety and Efficacy of Thymic Peptides in the Treatment of Hospitalized COVID-19 Patients in Honduras,,Completed,No Results Available,COVID-19,Biological: Thymic peptides,All,"21 Years and older   (Adult, Older Adult)",Phase 2,22,Interventional,https://ClinicalTrials.gov/show/NCT04771013
NCT04521309,SARS-CoV-2 Antibodies Based IVIG Therapy for COVID-19 Patients,,Completed,No Results Available,COVID-19,Biological: SARS-CoV-2 antibody based IVIG therapy,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50,Interventional,https://ClinicalTrials.gov/show/NCT04521309
NCT04381884,Ivermectin Effect on SARS-CoV-2 Replication in Patients With COVID-19,,Completed,No Results Available,COVID-19 Drug Treatment,Drug: IVERMECTIN (IVER P®) arm will receive IVM 600 µg / kg once daily plus standard care. CONTROL arm will receive standard care.,All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 2,45,Interventional,https://ClinicalTrials.gov/show/NCT04381884
NCT04345523,Convalescent Plasma Therapy vs. SOC for the Treatment of COVID-19 in Hospitalized Patients,ConPlas-19,Completed,No Results Available,COVID-19,Other: Blood and derivatives.|Drug: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,350,Interventional,https://ClinicalTrials.gov/show/NCT04345523
NCT04407494,Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19),COVID-OLFA,Completed,No Results Available,COVID-19,"Biological: Reporting of anosmia, ageusia and other clinical symptoms",All,"18 Years and older   (Adult, Older Adult)",,809,Observational,https://ClinicalTrials.gov/show/NCT04407494
NCT04456153,Atovaquone for Treatment of COVID-19,,Completed,No Results Available,COVID-19,Drug: Experimental Group|Drug: Placebo Group,All,"18 Years and older   (Adult, Older Adult)",Phase 2,61,Interventional,https://ClinicalTrials.gov/show/NCT04456153
NCT04757792,Back to the Traditional: Anti-COX Drugs Can Improve the Outcome of COVID-19 Patients Admitted to ICU,,Completed,No Results Available,COVID-19 Disease,Other: File inquiry,All,"Child, Adult, Older Adult",,475,Observational,https://ClinicalTrials.gov/show/NCT04757792
NCT04435184,Crizanlizumab for Treating COVID-19 Vasculopathy,CRITICAL,Completed,No Results Available,COVID-19,Drug: Crizanlizumab|Other: 0.9% saline,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50,Interventional,https://ClinicalTrials.gov/show/NCT04435184
NCT04525443,Endothelial Function and COVID-19,,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,110,Observational,https://ClinicalTrials.gov/show/NCT04525443
NCT04315298,Evaluation of the Efficacy and Safety of Sarilumab in Hospitalized Patients With COVID-19,,Completed,No Results Available,COVID-19,Drug: Sarilumab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,1912,Interventional,https://ClinicalTrials.gov/show/NCT04315298
NCT04898088,A Proof of Concept Study for the DNA Repair Driven by the Mesenchymal Stem Cells in Critical COVID-19 Patients,REPAIR,Completed,No Results Available,COVID-19 Pneumonia,Biological: Mesenchymal Stem Cells Transplantation,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04898088
NCT04616976,COVID-19 With Convalescent Plasma,,Completed,No Results Available,COVID-19 Convalescent Plasma Treatment,Biological: convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",,78,Observational,https://ClinicalTrials.gov/show/NCT04616976
NCT04367896,COVID-19 OUTBREAK AND SOLID ORGAN TRANSPLANTATION (SOT) : AN INTERNATIONAL WEB-BASED SURVEY,,Completed,No Results Available,COVID-19 OUTBREAK AND SOLID ORGAN TRANSPLANTATION,Other: Survey Group,,"Child, Adult, Older Adult",,1819,Observational,https://ClinicalTrials.gov/show/NCT04367896
NCT04425252,Safety and Anti-coronavirus Response of Suppression of Host Nucleotide Synthesis in Patients With COVID-19,CRISIS,Completed,No Results Available,COVID-19,Drug: Brequinar|Other: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,23,Interventional,https://ClinicalTrials.gov/show/NCT04425252
NCT04337996,Dynamic Evaluation of COVID-19 Diagnostic Tests,TRODVID-19,Completed,No Results Available,COVID-19,Diagnostic Test: COVID-19 diagnostic test,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,8,Interventional,https://ClinicalTrials.gov/show/NCT04337996
NCT04422509,Lanadelumab for Treatment of COVID-19 Disease,COVID_LAN,Completed,No Results Available,COVID-19,Biological: lanadelumab|Other: regular care,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 2,43,Interventional,https://ClinicalTrials.gov/show/NCT04422509
NCT04389567,Famotidine Outpatient COVID-19 Treatment Study,,Completed,No Results Available,COVID-19,Drug: Famotidine,All,"18 Years and older   (Adult, Older Adult)",,10,Observational,https://ClinicalTrials.gov/show/NCT04389567
NCT04413045,"Novel COVID-19, A National Analysis",,Completed,No Results Available,COVID-19,Other: Prevalence of COVID-19,All,"Child, Adult, Older Adult",,61,Observational,https://ClinicalTrials.gov/show/NCT04413045
NCT04387214,COVID-19 Pandemic and Academic Performance of Veterinary Students,,Completed,No Results Available,COVID-19,Other: survey,All,18 Years to 60 Years   (Adult),,1426,Observational,https://ClinicalTrials.gov/show/NCT04387214
NCT04380519,Study of the Efficacy and Safety of a Single Administration of Olokizumab and RPH-104 With Standard Therapy in Patients With Severe Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection (COVID-19),,Completed,No Results Available,COVID-19,Biological: RPH-104 80 mg|Drug: Olokizumab 64 mg|Drug: Placebo,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 3,372,Interventional,https://ClinicalTrials.gov/show/NCT04380519
NCT04326920,Sargramostim in Patients With Acute Hypoxic Respiratory Failure Due to COVID-19 (SARPAC),SARPAC,Completed,No Results Available,COVID-19,Drug: Sargramostim|Other: Control,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,80,Interventional,https://ClinicalTrials.gov/show/NCT04326920
NCT04365725,"Multicenter, Retrospective Study of the Effects of Remdesivir in the Treatment of Severe Covid-19 Infections",REMDECO-19,Completed,No Results Available,COVID-19,Drug: Remdesivir,All,"18 Years and older   (Adult, Older Adult)",,84,Observational,https://ClinicalTrials.gov/show/NCT04365725
NCT04365699,Cardiovascular Effects of COVID-19,,Completed,No Results Available,COVID-19,Drug: AT-001,All,"18 Years and older   (Adult, Older Adult)",Phase 2,10,Interventional,https://ClinicalTrials.gov/show/NCT04365699
NCT04691921,Current Pharmacological Practices in Severe COVID-19,,Completed,No Results Available,COVID-19,Behavioral: Current clinical practices of participating physicians,All,"20 Years to 70 Years   (Adult, Older Adult)",,1055,Observational,https://ClinicalTrials.gov/show/NCT04691921
NCT04395664,Arrhythmias in Patients With COVID-19,ACOVID,Completed,No Results Available,COVID-19,Device: C3+ Holter Monitor,All,"18 Years and older   (Adult, Older Adult)",,1000,Observational,https://ClinicalTrials.gov/show/NCT04395664
NCT04569188,Convalescent Plasma in COVID-19 Elderly Patients,RESCUE,Completed,No Results Available,COVID-19,Biological: Convalescent plasma,All,65 Years and older   (Older Adult),Phase 2,21,Interventional,https://ClinicalTrials.gov/show/NCT04569188
NCT04492943,To Observe Whether Isoflurane Can Treat COVID-19 Patients,,Completed,No Results Available,COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,35,Observational,https://ClinicalTrials.gov/show/NCT04492943
NCT04351243,A Study to Assess the Efficacy and Safety of Gimsilumab in Subjects With Lung Injury or Acute Respiratory Distress Syndrome Secondary to COVID-19 (BREATHE),,Completed,No Results Available,COVID-19,Drug: Gimsilumab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,227,Interventional,https://ClinicalTrials.gov/show/NCT04351243
NCT04441996,Therapeutic Plasma Exchange for COVID-19-associated Hyperviscosity,,Completed,No Results Available,COVID-19,Biological: Therapeutic plasma exchange (TPE)|Other: Standard of care,All,"18 Years and older   (Adult, Older Adult)",Phase 4,20,Interventional,https://ClinicalTrials.gov/show/NCT04441996
NCT04337541,Reduction in COVID-19 Infection Using Surgical Facial Masks Outside the Healthcare System,,Completed,No Results Available,COVID-19,Other: Surgical facial mask,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,6000,Interventional,https://ClinicalTrials.gov/show/NCT04337541
NCT04750317,Efficacy and Safety of Tofacitinib in Patients With COVID-19 Pneumonia,TOFA-COV-2,Completed,No Results Available,COVID-19,Drug: Tofacitinib,All,"18 Years and older   (Adult, Older Adult)",Phase 2,414,Interventional,https://ClinicalTrials.gov/show/NCT04750317
NCT04382586,Covid-19 Infection and Pulmonary Distress Treatment With Zanubrutinib in Hospitalized Participants,,Completed,No Results Available,COVID-19 Pulmonary Complications|COVID-19,Drug: Zanubrutinib|Drug: Supportive Care|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,67,Interventional,https://ClinicalTrials.gov/show/NCT04382586
NCT04377789,Effect of Quercetin on Prophylaxis and Treatment of COVID-19,,Completed,No Results Available,COVID-19,Dietary Supplement: Quercetin Prophylaxis|Dietary Supplement: Quercetin Treatment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,447,Interventional,https://ClinicalTrials.gov/show/NCT04377789
NCT04459819,Respiratory Physiotherapy in Severe COVID-19 Patients,FTR-COVID,Completed,No Results Available,COVID-19,Other: Respiratory physiotherapy,All,"18 Years to 80 Years   (Adult, Older Adult)",,84,Observational,https://ClinicalTrials.gov/show/NCT04459819
NCT04376398,Survey: COVID-19 Patients Managed in the Operating Theatre of Belgian Hospitals,COVID,Completed,No Results Available,COVID-19,,All,"up to 100 Years   (Child, Adult, Older Adult)",,200,Observational,https://ClinicalTrials.gov/show/NCT04376398
NCT04836065,ESICM UNITE COVID-19 Project (UNITE-COVID),UNITE-COVID,Completed,No Results Available,COVID-19 Infection,,All,"18 Years and older   (Adult, Older Adult)",,4995,Observational,https://ClinicalTrials.gov/show/NCT04836065
NCT04318418,"ACE Inhibitors, Angiotensin II Type-I Receptor Blockers and Severity of COVID-19",CODIV-ACE,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,3400,Observational,https://ClinicalTrials.gov/show/NCT04318418
NCT04463602,Desidustat in the Management of COVID-19 Patients,,Completed,No Results Available,COVID-19,Drug: Desidustat|Other: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24,Interventional,https://ClinicalTrials.gov/show/NCT04463602
NCT04285801,Critically Ill Patients With COVID-19 in Hong Kong: a Multicentre Observational Cohort Study,,Completed,No Results Available,COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,8,Observational,https://ClinicalTrials.gov/show/NCT04285801
NCT04365738,Pulmonary Rehabilitation in Post-Acute Period of COVID-19 Infection,,Completed,No Results Available,COVID-19,Other: Rehabilitation,All,28 Years to 45 Years   (Adult),Not Applicable,270,Interventional,https://ClinicalTrials.gov/show/NCT04365738
NCT04380792,Prevalence of DVT or PE in Patients Infected With COVID-19 Admitted to Hospital,SCREENING,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,2497,Observational,https://ClinicalTrials.gov/show/NCT04380792
NCT04304053,Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention,HCQ4COV19,Completed,No Results Available,COVID-19,Drug: Treatment and prophylaxis|Other: Standard Public Health measures,All,"18 Years and older   (Adult, Older Adult)",Phase 3,2300,Interventional,https://ClinicalTrials.gov/show/NCT04304053
NCT04421404,Effects of COVID-19 Convalescent Plasma (CCP) on Coronavirus-associated Complications in Hospitalized Patients,CAPRI,Completed,No Results Available,COVID-19|Sars-CoV2,Biological: COVID-19 Convalescent Plasma (CCP)|Biological: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,34,Interventional,https://ClinicalTrials.gov/show/NCT04421404
NCT04583592,Camostat Efficacy vs. Placebo for Outpatient Treatment of COVID-19 (CAMELOT),,Completed,No Results Available,COVID-19,Drug: Camostat Mesilate|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,295,Interventional,https://ClinicalTrials.gov/show/NCT04583592
NCT04367662,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,COVID'HEMOS,Completed,No Results Available,COVID-19,Procedure: blood sampling,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,99,Interventional,https://ClinicalTrials.gov/show/NCT04367662
NCT04690387,"Dendritic Cell Vaccine, AV-COVID-19, to Prevent COVID-19 Infection",,Completed,No Results Available,COVID-19,Biological: AV-COVID-19|Other: GM-CSF,All,"18 Years and older   (Adult, Older Adult)",Phase 1,27,Interventional,https://ClinicalTrials.gov/show/NCT04690387
NCT04410159,Povidone-Iodine Vs Essential Oil Vs Tap Water Gargling For COVID-19 Patients,GARGLES,Completed,Has Results,COVID-19,Drug: Povidone-Iodine|Drug: Essential oils|Other: Tap water,All,"18 Years and older   (Adult, Older Adult)",Phase 2,20,Interventional,https://ClinicalTrials.gov/show/NCT04410159
NCT04392414,Hyperimmune Convalescent Plasma in Moderate and Severe COVID-19 Disease,,Completed,No Results Available,COVID-19,Biological: COVID-19 convalescent hyperimmune plasma|Biological: Non-convalescent fresh frozen plasma (Standard plasma),All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,60,Interventional,https://ClinicalTrials.gov/show/NCT04392414
NCT04335136,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,APN01-COVID-19,Completed,No Results Available,COVID-19,Drug: RhACE2 APN01|Drug: Physiological saline solution,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,200,Interventional,https://ClinicalTrials.gov/show/NCT04335136
NCT04391127,Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,,Completed,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Ivermectin|Drug: Placebo,All,"16 Years to 90 Years   (Child, Adult, Older Adult)",Phase 3,108,Interventional,https://ClinicalTrials.gov/show/NCT04391127
NCT04389645,Interferon Gamma Induced Protein 10 (IP-10) in a Clinical Decision Support Protocol in COVID-19 Patients,,Completed,No Results Available,COVID-19,Diagnostic Test: IP-10 in CDS protocol,All,"18 Years and older   (Adult, Older Adult)",,52,Observational,https://ClinicalTrials.gov/show/NCT04389645
NCT04331366,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,GO2 PEEP,Completed,Has Results,COVID-19,Device: GO2 PEEP MOUTHPIECE,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2,Interventional,https://ClinicalTrials.gov/show/NCT04331366
NCT04747158,COVID-19 Convalescent Plasma Therapy,TPCC,Completed,No Results Available,SARS-CoV-2 Infection|COVID-19 Infection,Biological: Convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 3,350,Interventional,https://ClinicalTrials.gov/show/NCT04747158
