Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
11,NCT04389658,Contagiousness and Immunogenicity Status of COVID-19 in Asymptomatic Population (COVID-19 CONDITION),CONDITION,Completed,No Results Available,COVID-19,,Prevalence of contagiousness in asymptomatic individuals by PCR|Ratio of asymptomatic immunized (IgA/IgM and IgG) population|Description of demographic characteristics,Igenomix,All,"Child, Adult, Older Adult",,1526,Industry,Observational,Observational Model: Other|Time Perspective: Retrospective,IGX1-COV-XS-20-01,25-Aug-20,7-May-20,110,10-Jun-20,15-May-20,,9-Oct-20,"Igenomix, Paterna, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT04389658
12,NCT04558372,Genosvid Diagnostic Test for Early Detection of COVID-19,,Completed,No Results Available,COVID-19,Other: exhaled breath sampling,Diagnostic accuracy of electronic nose signal in COVID-19,Gadjah Mada University,All,"4 Years and older Â  (Child, Adult, Older Adult)",Not Applicable,1999,Other,Interventional,"Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic",1.6/2020,12-Dec-20,1-Apr-20,255,12-Dec-20,22-Sep-20,,29-Dec-20,"RS Bhayangkara Tk I R.Said Soekanto, Jakarta, Indonesia|Saiful Anwar, Malang, Indonesia|Dr Sardjito Hospital, Yogyakarta, Indonesia|Bambanglipuro Hospital, Yogyakarta, Indonesia|Bhayangkara Tk III Polda DIY, Yogyakarta, Indonesia|RS Akademik UGM, Yogyakarta, Indonesia|RSPAU Hardjolukito, Yogyakarta, Indonesia|RST Tk III Dr Soetarto, Yogyakarta, Indonesia",,https://ClinicalTrials.gov/show/NCT04558372
13,NCT04392141,Colchicine Plus Phenolic Monoterpenes to Treat COVID-19,,Completed,Has Results,COVID-19,Drug: Standard Treatment|Drug: Oral administration of Colchicine plus Herbal Phenolic Monoterpene Fractions,Mortality Rate|SpO2|Length of Hospitalization|Lymphocyte Count|Serum Lactate Dehydrogenase,Kermanshah University of Medical Sciences,All,"10 Years and older Â  (Child, Adult, Older Adult)",Phase 1|Phase 2,120,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1399.062,1-Nov-20,1-Apr-20,214,1-Nov-20,18-May-20,20-Apr-21,20-Apr-21,"Medical Biology Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT04392141/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT04392141/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04392141
14,NCT04418284,Online Learning of Veterinary Anatomy During COVID-19 Pandemic,,Completed,No Results Available,COVID-19,Other: survey,Measure the students' interest in studying anatomy on-line.|Assess the easiness of using technology during studying anatomy online|Assess the student satisfaction regarding the provided study materials,South Valley University,All,"17 Years to 35 Years Â  (Child, Adult)",,1517,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,20-Feb,5-Nov-20,5-Jun-20,153,5-Nov-20,5-Jun-20,,16-Mar-21,"South Valley University, QinÄ, Egypt",,https://ClinicalTrials.gov/show/NCT04418284
15,NCT04449718,Vitamin D Supplementation in Patients With COVID-19,,Completed,No Results Available,COVID-19,Dietary Supplement: Vitamin D|Dietary Supplement: Placebo,Length of hospitalization|Mortality|Number of cases admitted to Intensive Care Unit (ICU)|Length of use of mechanic ventilator|Number and severity of symptoms|Inflammatory markers|C-reactive protein|Vitamin D|Creatinine|Calcium|Physical activity,University of Sao Paulo,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,240,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",30959620.4.0000.0068,7-Oct-20,1-Jun-20,128,7-Oct-20,29-Jun-20,,17-Nov-20,"Clinical Hospital of the School of Medicine, University of Sao Paulo, Sao Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT04449718
16,NCT04324489,DAS181 for Severe COVID-19: Compassionate Use,,Completed,No Results Available,COVID-19,Drug: DAS181,Improved clinical status|Return to room air|SARS-CoV-2 RNA|Discharge|Death,"Renmin Hospital of Wuhan University|Ansun Biopharma, Inc.",All,"18 Years to 70 Years Â  (Adult, Older Adult)",Not Applicable,4,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,DAS181-SARS-CoV-2,30-Apr-20,6-Mar-20,55,16-Apr-20,27-Mar-20,,5-May-20,"Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,https://ClinicalTrials.gov/show/NCT04324489
17,NCT04370262,Multi-site Adaptive Trials for COVID-19,,Completed,No Results Available,COVID-19,Drug: SOC + Intravenous Famotidine|Drug: SOC + Placebo,Mortality|Virologic response to study treatment detected in blood|Virologic clearance in nasal swab and/or lower respiratory secretions|Clinical Severity,Northwell Health,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,233,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20-0268,7-Sep-20,7-Apr-20,153,7-Sep-20,30-Apr-20,,11-Dec-20,"Southside Hospital, Bay Shore, New York, United States|North Shore University Hospital, Manhasset, New York, United States|Northern Westchester Hospital, Mount Kisco, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States",,https://ClinicalTrials.gov/show/NCT04370262
18,NCT04474496,Impact of COVID-19 on Marshallese Communities in the U.S.,,Completed,Has Results,COVID-19,Other: Assessing the impact of COVID-19,Personal Preventative Behaviors to Decrease Risk of COVID-19 Exposure|Workplace Preventative Actions to Decrease Risk of COVID-19 Exposure|Effects of COVID-19 on General Health Status|Effects of COVID-19 on Access to Healthcare Services|Effects of COVID-19 on Dietary Habits|Effects of COVID-19 on Physical Activity Behaviors (Not Specifically for Exercise)|Effects of COVID-19 on Physical Activity Behaviors (Specifically for Exercise)|Effects of COVID-19 on Weight|Effects of COVID-19 on HbA1c (Glycated Hemoglobin)|Barriers to Type 2 Diabetes Management Due to COVID-19|COVID-19 Screening|COVID-19 Testing|COVID-19 Vaccine Willingness/Hesitancy|Trusted Sources of COVID-19 Information|Effects of COVID-19 on Housing|Effects of COVID-19 on Employment|Effects of COVID-19 on Income|Sources of Stress During COVID-19,University of Arkansas|Patient-Centered Outcomes Research Institute,All,"18 Years and older Â  (Adult, Older Adult)",,120,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,261131,30-Nov-20,27-Jul-20,126,30-Nov-20,16-Jul-20,5-Apr-21,5-Apr-21,"University of Arkansas for Medical Sciences Northwest, Fayetteville, Arkansas, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT04474496/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04474496
19,NCT04335123,Study of Open Label Losartan in COVID-19,,Completed,No Results Available,COVID-19,Drug: Losartan,"Number of participants with treatment-related adverse events as assessed by protocol definition of AE|Number of days on supplemental oxygen in respiratory failure due to COVID-19|Incidence of mechanical ventilation use|Days on mechanical ventilation|Incidence of non-invasive positive pressure ventilation or heated high flow nasal cannula use|Days on non-invasive positive pressure ventilation or high flow nasal cannula|Incidence of transfer to ICU from non-ICU hospital bed|ICU length of stay (days)|30-day mortality rate|Hospital length of stay (days)|Cumulative incidence of severe adverse events|Cumulative incidence of adverse events|Change from baseline in oxygenation|Incidence of medications with possible antiviral activity (hydroxychloroquine, lopinavir/ritonavir, ribavirin or remdesivir) or adjunctive therapy use (e.g., tocilizumab)|Incidence (and length in days) of extracorporeal membrane oxygenation use|Incidence (and length in days) of renal replacement therapy use|Intolerance of high dose (50mg) losartan after tolerating 25mg",University of Kansas Medical Center,All,"18 Years and older Â  (Adult, Older Adult)",Phase 1,34,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00145514,17-Aug-20,4-Apr-20,135,21-Jun-20,6-Apr-20,,10-May-21,"University of Kansas Medical Center, Kansas City, Kansas, United States",,https://ClinicalTrials.gov/show/NCT04335123
20,NCT04321421,Hyperimmune Plasma for Critical Patients With COVID-19,COV19-PLASMA,Completed,No Results Available,COVID-19,Other: hyperimmune plasma,death|time to extubation|length of intensive care unit stay|time to CPAP weaning|viral load|immune response,Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,49,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRCCSSanMatteoH,7-May-20,17-Mar-20,51,28-Apr-20,25-Mar-20,,28-May-20,"Catherine Klersy, Pavia, PV, Italy|Ospedale Asst Carlo Poma Mantova, Mantova, Italy",,https://ClinicalTrials.gov/show/NCT04321421
21,NCT04646109,Ivermectin for Severe COVID-19 Management,,Completed,Has Results,COVID-19,Drug: Ivermectin,Gender Distribution of the Patients|Age Distribution of the Patients|Percentage of Patients With Accompanying Diseases|Percentage of Patients With Baseline Clinical Symptoms|Body Temperature Means of the Patients|Heart Rate Means of the Patients|Respiratory Rate Means of the Patients|Systolic and Diastolic Pressure Means of the Patients|Number of Participants With Clinical Response|Changes in Oxygen Saturation (SpO2) Values|Changes in the Ratio of Partial Pressure of Oxygen (PaO2) to Fraction of Inspired Oxygen (FiO2) (PaO2/FiO2)|Changes in Serum Lymphocyte Counts|Changes in the Ratio of Polymorphonuclear Leukocyte Count to Lymphocyte Count (PNL/L)|Changes in Serum Ferritin Levels|Changes in Serum D-dimer Levels|Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism|Treatment-Related Adverse Events as Assessed by CTCAE v4.0|Mortality|Rate of COVID-19 Polymerase Chain Reaction (PCR) Test Negativity,Afyonkarahisar Health Sciences University|NeuTec Pharma,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,66,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IVMC_03,2-Sep-20,11-May-20,114,2-Sep-20,27-Nov-20,27-Jan-21,27-Jan-21,"Afyonkarahisar Health Science University, Afyonkarahisar, Turkey|Gulhane Faculty of Medicine, University of Health Sciences, Ankara, Turkey|YÄ±ldÄ±rÄ±m BeyazÄ±t University, Ankara City Hospital, Ankara, Turkey|Haydarpasa Sultan Abdulhamid Han Training and Research Hospital, Ä°stanbul, Turkey","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT04646109/Prot_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT04646109/ICF_001.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/09/NCT04646109/SAP_002.pdf",https://ClinicalTrials.gov/show/NCT04646109
22,NCT04306497,TCM Differentiation and Treatment Protocol of COVID-19,TDATPOC,Completed,No Results Available,COVID-19,Drug: TCM prescriptions,The relief of main symptoms/ disappearance rate of time|Chest CT absorption|Evaluation standard of comprehensive curative effect|Virus antigen negative conversion rate|The number of severe and critical conversion cases|Incidence of complications|Traditional Chinese Medicine Syndrome Score,"Jiangsu Famous Medical Technology Co., Ltd.",All,"18 Years to 80 Years Â  (Adult, Older Adult)",,340,Industry,Observational,Observational Model: Cohort|Time Perspective: Other,JSZYJ202001,30-May-20,22-Jan-20,129,30-Apr-20,13-Mar-20,,4-Jun-20,"Huai'an fourth people's Hospital, Huaian, Jiangsu, China",,https://ClinicalTrials.gov/show/NCT04306497
23,NCT04364022,Efficacy of Pragmatic Same-day COVID-19 Ring Prophylaxis for Adult Individuals Exposed to SARS-CoV-2 in Switzerland,COPEP,Completed,No Results Available,Prevention of COVID-19,Drug: Lopinavir/ritonavir,"21-day incidence of COVID-19 in individuals exposed to SARS-CoV- 2 who are asymptomatic at baseline (intent-to-treat (ITT) analysis).|21-day incidence of COVID-19 in individuals exposed to SARS-CoV- 2 who are asymptomatic, PCR-confirmed SARS-CoV-2 negative and have negative SARS-CoV-2 serology at baseline (modified ITT)|21-day incidence of SARS-CoV-2 infection in individuals exposed to SARS-CoV-2 who are asymptomatic, PCR-confirmed SARS-CoV-2 negative and have negative SARS-CoV-2 serology at baseline (modified ITT)|Severity of clinical COVID-19 on a 7-point ordinal scale","Calmy Alexandra|University Hospital, Geneva",All,"16 Years and older Â  (Child, Adult, Older Adult)",Phase 3,326,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,CCER 2020-00864,24-Mar-21,23-Apr-20,335,24-Mar-21,27-Apr-20,,12-Apr-21,"Instituto Nacional de Infectiologia Evandro Chagas, Fiocruz, Rio De Janeiro, Brazil|UniversitÃ¤tsspital Basel and SwissTPH, Basel, Switzerland|HÃ´pitaux Universitaires de GenÃ¨ve, Geneva, Switzerland|Ospedale Regionale di Lugano, Lugano, Switzerland",,https://ClinicalTrials.gov/show/NCT04364022
